GEISA09 Lines : Database Extract Results

Extraction in progress...

nbr records in this bin file :   3807997
 *****************                                                                                                  *****************
 * geisa   geisa *                                extraction of geisa2009  contents                                 * geisa   geisa *
 *      ext      *                                                                                                  *      ext      *
 * geisa   geisa *                spectral  interval (cm-1)  nu1= 2400.000000   nu2= 35000.000000                   * geisa   geisa *
 *****************                                                                                                  *****************
                                          extraction of the following molecules and isotopes

  1 Molecule(s) affect(s) :  o2

  3 Isotope(s)  affect(s) :   66,  67,  68

                                        (A)  wavenumber (cm-1)
                                        (B)  intensity (cm-1/molec.cm-2 at 296 k)
                                        (C)  air broadening pressure halfwidth(cm-1 atm-1 at 296 K)
                                        (D)  energy of the lower level of the transition (cm-1)
                                        (G)  identification of the isotope
                                        (I)  identification code of the molecule

      ----------------------------------------------------
      |     A      |     B     |  C   |    D     | G | I |
      ----------------------------------------------------
        7862.928940  1.0260D-28 0.0512    97.5950  68   7     173
        7863.443772  4.7840D-26 0.0519    79.6070  66   7     174
        7863.947151  7.1710D-29 0.0519    77.8353  68   7     175
        7864.221918  1.8820D-28 0.0356  1420.7642  66   7     176
        7864.733875  1.6620D-28 0.0356  1420.2523  66   7     177
        7864.966829  1.5300D-27 0.0365  1248.2019  66   7     178
        7865.917672  9.6480D-29 0.0519    75.8647  68   7     179
        7866.719456  4.1260D-28 0.0365  1246.4493  66   7     180
        7866.885564  6.1120D-29 0.0530    58.8312  68   7     181
        7867.196265  3.6110D-28 0.0365  1245.9725  66   7     182
        7867.277179  3.1460D-27 0.0376  1085.2037  66   7     183
        7867.653563  2.0990D-26 0.0542    44.2117  66   7     184
        7868.871585  8.6360D-29 0.0530    56.8452  68   7     185
        7869.047301  8.5300D-28 0.0376  1083.4335  66   7     186
        7869.419199  6.0910D-27 0.0390   933.5311  66   7     187
        7869.488777  7.3900D-28 0.0376  1082.9921  66   7     188
        7869.665156  3.2830D-26 0.0542    42.2001  66   7     189
        7869.787064  4.7600D-29 0.0542    42.5407  68   7     190
        7871.206962  1.6610D-27 0.0390   931.7433  66   7     191
        7871.394261  1.1090D-26 0.0407   793.2088  66   7     192
        7871.465729  1.6990D-29 0.0390   882.5890  68   7     193
        7871.612875  1.4230D-27 0.0390   931.3374  66   7     194
        7871.791968  7.2060D-29 0.0542    40.5358  68   7     195
        7872.416952  2.2660D-29 0.0398   814.9663  68   7     196
        7872.651574  3.1760D-29 0.0555    28.9644  68   7     197
        7873.199844  3.0460D-27 0.0407   791.4032  66   7     198
        7873.203625  2.2430D-26 0.0420   664.2595  66   7     199
        7873.328997  2.9790D-29 0.0407   750.0281  68   7     200
        7873.569901  2.5730D-27 0.0407   791.0332  66   7     201
        7873.680213  6.8210D-27 0.0568    18.3372  66   7     202
        7874.202002  3.8580D-29 0.0414   687.7770  68   7     203
        7874.681682  5.3420D-29 0.0555    26.9343  68   7     204
        7874.848441  3.0430D-26 0.0435   546.7042  66   7     205
        7875.027259  5.2510D-27 0.0420   662.4359  66   7     206
        7875.036100  4.9210D-29 0.0420   628.2155  68   7     207
        7875.361080  4.3660D-27 0.0420   662.1021  66   7     208
        7875.479014  1.4870D-29 0.0568    18.1026  68   7     209
        7875.764530  1.3770D-26 0.0568    16.2529  66   7     210
        7875.831418  6.1820D-29 0.0427   571.3456  68   7     211
        7876.329756  4.3090D-26 0.0447   440.5618  66   7     212
        7876.588076  7.6470D-29 0.0435   517.1697  68   7     213
        7876.690428  7.2590D-27 0.0435   544.8622  66   7     214
        7876.987513  6.9370D-27 0.0435   544.5651  66   7     215
        7877.306190  9.3100D-29 0.0441   465.6897  68   7     216
        7877.548392  3.0020D-29 0.0568    16.0333  68   7     217
        7877.648507  6.3420D-26 0.0463   345.8495  66   7     218
        7877.671395  1.7200D-29 0.0427   569.5056  68   7     219
        7877.985869  1.1150D-28 0.0447   416.9078  68   7     220
        7878.190503  1.2380D-26 0.0447   438.7010  66   7     221
        7878.436696  2.1380D-29 0.0435   515.3210  68   7     222
        7878.450173  8.9060D-27 0.0447   438.4414  66   7     223
        7878.627217  1.3140D-28 0.0455   370.8256  68   7     224
        7878.719593  1.7430D-29 0.0435   515.0382  68   7     225
        7878.805529  9.8900D-26 0.0474   262.5827  66   7     226
        7879.163541  2.6180D-29 0.0441   463.8324  68   7     227
        7879.230331  1.5230D-28 0.0463   327.4451  68   7     228
        7879.428994  2.1110D-29 0.0441   463.5669  68   7     229
        7879.528587  1.8370D-26 0.0463   343.9694  66   7     230
        7879.749893  1.4200D-26 0.0463   343.7481  66   7     231
        7879.795305  1.7340D-28 0.0469   286.7678  68   7     232
        7879.801552  1.0010D-25 0.0487   190.7748  66   7     233
        7879.852055  3.1560D-29 0.0447   415.0416  68   7     234
        7880.099892  2.5140D-29 0.0447   414.7937  68   7     235
        7880.322224  1.9380D-28 0.0474   248.7953  68   7     236
        7880.502361  3.7450D-29 0.0455   368.9505  68   7     237
        7880.637204  1.1000D-25 0.0500   130.4375  66   7     238
        7880.705784  2.4380D-26 0.0474   260.6825  66   7     239
        7880.732378  2.9420D-29 0.0455   368.7205  68   7     240
        7880.811169  2.1260D-28 0.0480   213.5291  68   7     241
        7880.887343  1.8140D-26 0.0474   260.5009  66   7     242
        7881.114582  4.3740D-29 0.0463   325.5608  68   7     243
        7881.262214  2.2860D-28 0.0487   180.9704  68   7     244
        7881.313013  1.0860D-25 0.0514    81.5805  66   7     245
        7881.326534  3.3820D-29 0.0463   325.3489  68   7     246
        7881.675430  2.4050D-28 0.0493   151.1206  68   7     247
        7881.688842  5.0250D-29 0.0469   284.8742  68   7     248
        7881.723297  3.0100D-26 0.0487   188.8531  66   7     249
        7881.829402  9.2430D-26 0.0530    44.2117  66   7     250
        7881.862983  2.1260D-26 0.0487   188.7134  66   7     251
        7881.882433  3.8160D-29 0.0469   284.6807  68   7     252
        7882.050879  2.4720D-28 0.0500   123.9808  68   7     253
        7882.186696  5.9560D-26 0.0558    18.3372  66   7     254
        7882.225272  5.6770D-29 0.0474   246.8922  68   7     255
        7882.388619  2.4770D-28 0.0507    99.5521  68   7     256
        7882.400137  4.2240D-29 0.0474   246.7174  68   7     257
        7882.582679  3.4370D-26 0.0500   128.4921  66   7     258
        7882.676968  2.2550D-26 0.0500   128.3978  66   7     259
        7882.688702  2.4090D-28 0.0514    77.8353  68   7     260
        7882.724009  6.3040D-29 0.0480   211.6162  68   7     261
        7882.879693  4.5790D-29 0.0480   211.4605  68   7     262
        7882.951173  2.2610D-28 0.0522    58.8312  68   7     263
        7883.176074  2.0290D-28 0.0530    42.5407  68   7     264
        7883.185207  6.8750D-29 0.0487   179.0474  68   7     265
        7883.286518  3.5970D-26 0.0514    79.6070  66   7     266
        7883.321133  4.8560D-29 0.0487   178.9115  68   7     267
        7883.328900  2.1070D-26 0.0514    79.5646  66   7     268
        7883.363439  1.7100D-28 0.0544    28.9644  68   7     269
        7883.513296  1.2980D-28 0.0558    18.1026  68   7     270
        7883.609049  7.3590D-29 0.0493   149.1870  68   7     271
        7883.724470  5.0270D-29 0.0493   149.0716  68   7     272
        7883.817143  1.6310D-26 0.0530    42.2240  66   7     273
        7883.840995  3.3930D-26 0.0530    42.2001  66   7     274
